"id","kmt","ddp","pfp"
"10002050-009",16.3,73.2,9.5
"10002050-002",24.1,57.9,16.3
"10002050-013",21.2,67.4,9.9
"10002050-001",27.5,57.9,13.3
"10002050-012",23,66.8,7.8
"10002050-014",21.2,68.1,9.2
"10002050-015",23.6,64.4,11.1
"10002050-011",23.4,63.3,11.1
"10002050-008",21.1,66.6,10.1
"10002050-017",23.4,66,9.3
"10002050-003",36.4,48.1,14.4
"10002050-016",20.1,70.1,7.9
"10002020-004",24.2,62.2,12
"10002020-029",22.3,64.7,11.6
"10002020-030",25.8,61.1,11.3
"10002020-024",24.1,64.3,10.2
"10002020-011",25.2,59.1,14.1
"10002020-020",24.1,62.5,12.2
"10002020-018",24.9,63.1,11.2
"10002020-010",25.8,62.7,10.5
"10002020-023",23.7,64.2,11
"10002020-017",24.3,62.9,11.6
"10002020-005",20.8,64.9,12.8
"10002020-022",25.1,61.9,12.1
"10002020-008",25.1,58.9,15
"10002020-009",27.5,62.4,9.2
"10002020-026",28.8,59.4,10.5
"10002020-028",21.9,67.1,9.3
"10002020-021",25.7,61.8,11.8
"10002020-006",19.5,68.4,10.6
"10002020-016",27.1,59.3,12.3
"10002020-027",26.8,60.9,11.4
"10002020-019",29.1,58.2,11.4
"10002020-025",31.9,56.4,10.2
"10002020-007",24.3,60.2,14.8
"10002030-015",33.2,50.7,13.6
"10002030-016",20.7,62.5,15.8
"10002030-003",21.9,66.5,10.4
"10002030-017",21.4,60.5,16.1
"10002030-004",22.7,68.3,7
"10002030-024",26.3,56.8,15
"10002030-014",26.6,56.7,15.8
"10002030-019",16.9,68.4,13
"10002030-018",28.2,57,13.1
"10002030-020",19.5,63.8,15.5
"10002030-023",14.6,68.6,15.8
"10002030-025",16.3,71.6,11.4
"10002030-022",26.3,60.7,11.2
"10002030-021",24.6,59.9,14.8
"10002030-002",21,68.5,9
"10002030-026",15.7,70.5,12.2
"10002030-005",23.7,64.9,10
"10002030-008",24.6,64,10.7
"10002030-009",33.9,51.8,13.8
"10002030-027",24.1,60.4,14.7
"10002030-007",20.9,66,11.9
"10002030-001",18.5,68.2,11.8
"10002030-011",35.2,51.9,11.2
"10002030-010",30,56,12.6
"10002030-013",23.5,60.2,14.2
"10002030-012",32,57.5,9.2
"10015030-014",36.6,51.8,10.1
"10015030-015",44.5,39.6,14.4
"10015030-001",44.8,39.8,14.1
"10015030-003",52.1,31.3,14.1
"10015030-009",48.8,33.8,15.7
"10015030-011",53.2,30.2,14.1
"10015030-007",58.1,23,16.5
"10015030-012",44.7,34,18.7
"10015030-004",57.5,27.2,13.5
"10015030-005",46.8,38.2,13.5
"10015030-002",41.8,38.3,17.4
"10015030-006",40.2,38.2,20.5
"10015030-013",66.7,14.8,16.4
"10015030-008",65.4,15.1,17.7
"10015030-010",48.9,30.8,18.2
"10015070-003",54.7,26,17.4
"10015070-007",47.6,35.4,15.3
"10015070-005",51.9,35.3,12.3
"10015070-001",43.7,40.9,13.3
"10015070-004",53.8,22.5,21.8
"10015070-009",46.4,42.5,10.1
"10015070-002",46.4,40.3,12.6
"10015070-006",61,28.8,9.1
"10015070-008",50.8,31.8,15.9
"10015070-010",51.4,40.1,7
"10015070-014",64.6,15.3,18.2
"10015070-012",57.5,22.9,16.9
"10015070-011",64.8,14,19.9
"10015070-013",55.8,21.7,20.8
"10015050-009",54.7,25.8,18.2
"10015050-016",40.8,40.7,17.8
"10015050-014",47.9,36.8,14.3
"10015050-017",42.1,38.1,18.3
"10015050-003",40.4,43.2,14.5
"10015050-001",42.9,42.2,13.4
"10015050-004",44.3,39.6,15
"10015050-010",45.3,36.9,16.7
"10015050-018",51,27.8,19.8
"10015050-006",42,40,16.6
"10015050-013",45.3,37,16.3
"10015050-015",48.6,33.2,17.1
"10015050-012",48.3,35.5,15.2
"10015050-008",37.7,49.1,11.8
"10015050-002",41.2,42.8,14.4
"10015050-007",37.7,45.5,15.2
"10015050-005",42.6,41.9,14.1
"10015050-011",43.1,38.4,16.2
"10015110-006",62.2,17.4,19.2
"10015110-004",43.7,31.7,24
"10015110-003",49.5,26.6,21.5
"10015110-008",57.2,21.4,20.3
"10015110-009",35.7,32.8,30.3
"10015110-001",52.8,18.9,27
"10015110-002",45.4,30.9,21.8
"10015110-007",43.6,31.2,23.3
"10015110-005",54.1,24.1,20.8
"10015130-003",70.4,11.9,15.5
"10015130-006",70.5,14.3,13.7
"10015130-002",68.3,19.6,11
"10015130-005",66.4,11.6,20
"10015130-004",65.2,15.2,17.8
"10015130-001",67,10.1,21.3
"10015010-029",41.5,43.3,13.5
"10015010-013",41.2,44.9,13.6
"10015010-042",45.7,39,14.1
"10015010-006",42,44.4,12.4
"10015010-004",38.8,49.1,11.5
"10015010-036",43.4,41.9,12.6
"10015010-020",36.1,49,12.7
"10015010-028",40.8,44.6,13.3
"10015010-005",41.3,46.2,11.8
"10015010-012",42.2,45.7,10.6
"10015010-014",45.1,39.6,14
"10015010-021",43.2,42.6,13.2
"10015010-037",44.6,39.5,14.8
"10015010-025",40.7,40.7,17
"10015010-027",52.2,34.5,11.5
"10015010-019",43.1,44.7,11.3
"10015010-001",49.8,38.2,10.8
"10015010-034",36,47.2,16
"10015010-045",53.7,30.2,14.8
"10015010-033",51.6,31,16
"10015010-011",52.2,34.5,11.5
"10015010-017",50.9,35.4,12.5
"10015010-003",50.5,37.3,11.5
"10015010-018",53.5,30.7,14.2
"10015010-010",61.8,21.1,15.4
"10015010-002",44.9,37.1,16.2
"10015010-009",51.6,36.2,10.3
"10015010-026",46,35.3,16.3
"10015010-035",52.7,30,15.2
"10015010-022",46.1,39.4,12.1
"10015010-030",43.5,44.1,11.6
"10015010-039",40.5,42.7,15.1
"10015010-015",46.3,39.9,11.5
"10015010-007",41.7,44,12.4
"10015010-008",44.2,40.3,13.9
"10015010-024",44.5,39,15.1
"10015010-043",42.7,38.8,17.3
"10015010-016",43.2,42.4,13
"10015010-038",44.5,43,11.6
"10015010-041",46.4,38,14.3
"10015010-040",40.6,38,19.8
"10015010-031",41.5,43.9,13
"10015010-032",37.1,45.7,15.7
"10015010-044",48.5,35.1,14.5
"10015010-023",40.3,44.7,13.7
"10015100-010",50.4,35.2,13.1
"10015100-007",46.5,38,14.1
"10015100-005",52.7,29.9,15.3
