"id","kmt","ddp","pfp"
"68000110-007",26.2,59.7,13
"68000110-012",25.9,63.7,9.7
"68000110-011",27.2,62.9,9.4
"68000110-022",25.6,63.7,10
"68000110-016",26.3,61.1,11.5
"68000110-015",24.1,64.2,10.3
"68000110-013",27.1,58.8,12.3
"68000110-010",24.8,63.1,10.8
"68000110-014",28.8,56.4,13.8
"68000110-009",30.1,54.9,13.7
"68000110-008",24.8,64.9,9.4
"68000110-021",30.3,55.9,12.4
"68000110-003",29,58.6,11.8
"68000110-006",29.6,55.8,13.5
"68000110-023",22.7,68,9
"68000110-004",29.7,55.6,14
"68000110-018",25.6,55.2,18.1
"68000110-017",30.9,56,11.9
"68000110-019",22.9,63,13.2
"68000110-002",32.2,52.1,14.4
"68000110-001",32.5,53.4,13
"68000110-005",28.5,58.5,11.7
"68000040-040",37.9,40.4,20.6
"68000040-024",31.5,52.3,15.3
"68000040-008",27.4,56.7,15.1
"68000040-025",30,48.5,20.5
"68000040-005",38.9,46.2,13.9
"68000040-010",39.4,45.4,14.3
"68000040-026",38,44,17.1
"68000040-018",39,44.9,14.6
"68000040-007",34.2,48.6,16.3
"68000040-014",38.8,42.9,17
"68000040-035",34.3,45.1,19.8
"68000040-004",33.8,48.6,16.7
"68000040-019",45.1,38.6,14.9
"68000040-030",33.3,50.1,15.3
"68000040-006",28.7,55.2,14.6
"68000040-028",39,41.2,19.1
"68000040-012",53.2,25.9,19.5
"68000040-031",37.1,44.1,17.8
"68000040-003",37.2,46.3,15.5
"68000040-022",29.9,52.5,16.2
"68000040-011",32.9,56,10
"68000040-037",29.3,50.6,18.9
"68000040-016",35.8,44.6,18.3
"68000040-017",28.6,56.8,13.6
"68000040-009",38.6,44.9,15.5
"68000040-015",38.4,42.5,18.2
"68000040-020",37.4,46.8,14.1
"68000040-038",28.7,53.2,17.2
"68000040-032",33.2,50.9,14.7
"68000040-002",42.8,43.9,12
"68000040-027",37.6,42.6,18.9
"68000040-001",38.2,44.1,16.5
"68000040-034",38.4,40.4,19.7
"68000040-023",33.7,49.4,16.1
"68000040-013",33.7,50.2,15.1
"68000040-036",34.6,46.2,18
"68000040-029",42.1,38,19
"68000040-039",37,41,21.2
"68000040-041",30.9,45.5,22
"68000040-021",33.1,51.3,14.7
"68000040-033",32.7,51.5,14.7
"68000090-013",38.5,44.2,16
"68000090-007",34.6,48.5,15.8
"68000090-008",21.3,69.9,7.8
"68000090-017",25.6,61.6,11.9
"68000090-016",35.8,49.7,12.9
"68000090-019",45.6,40.1,12.5
"68000090-009",31.1,52.1,15.7
"68000090-026",43.4,38.4,17.2
"68000090-018",33.5,52.6,13
"68000090-002",36.5,48.5,13.7
"68000090-010",39.7,44,15.6
"68000090-014",42,40.8,16.4
"68000090-029",44.7,36.6,17.6
"68000090-020",37.8,46.8,14.2
"68000090-022",51,30.8,16.9
"68000090-015",50.2,34.1,14.5
"68000090-028",49.5,32.2,17.1
"68000090-027",35.8,49.2,14.1
"68000090-030",51.1,33.6,13.7
"68000090-006",37,46,15.6
"68000090-003",38.6,46.2,14.2
"68000090-021",31.7,52.5,14.4
"68000090-004",29.6,54.5,14.7
"68000090-012",29.8,52.4,16.6
"68000090-031",45.9,36.2,16.2
"68000090-001",34.8,47.1,17.1
"68000090-024",32,51.2,16.1
"68000090-025",38.7,46.7,13.6
"68000090-023",39.7,43.4,16
"68000090-011",33,53.1,12.9
"68000070-004",32.6,53.5,12.1
"68000070-012",25.6,62.5,10.4
"68000070-019",31.1,55.1,12.5
"68000070-027",32.2,51.8,14.9
"68000070-028",28.7,54.1,16.3
"68000070-006",33.2,51.2,14.8
"68000070-005",32.3,54.2,12.1
"68000070-014",32.2,55.2,11.5
"68000070-013",31.1,53.7,14.1
"68000070-009",38,49.7,11
"68000070-020",30.4,54.9,13.7
"68000070-003",30.6,52.3,16
"68000070-022",31.7,50.3,16.6
"68000070-029",23,61.9,14.4
"68000070-011",25.3,59.2,13.9
"68000070-021",32,55.5,11.7
"68000070-025",30.4,55.9,12.1
"68000070-007",72.2,10.6,16.1
"68000070-015",30.8,54.2,13.8
"68000070-030",46.2,38.7,13.8
"68000070-026",28.3,56.6,13.9
"68000070-001",28,57,13.9
"68000070-023",33.8,50.2,15.2
"68000070-008",47.8,35.9,14.9
"68000070-010",27.2,56.6,14.9
"68000070-024",30,56.3,12.2
"68000070-017",20.3,69,9.7
"68000070-002",31.7,54.7,12.8
"68000070-016",26,60.9,11.9
"68000070-018",27,60.7,11.5
"68000050-022",29.1,56.6,13.2
"68000050-037",29.5,56.1,13.4
"68000050-004",31.3,54.5,13.3
"68000050-012",23.3,63.3,12
"68000050-011",27.1,59.9,12
"68000050-033",34.2,47.7,16.7
"68000050-002",19.7,68.6,10.8
"68000050-036",29.2,55.4,14.6
"68000050-009",32.7,50.2,15.9
"68000050-010",26.8,61.7,10.5
"68000050-013",17.5,71.4,9.1
"68000050-024",37.3,47.1,14.3
"68000050-032",35.4,48.5,14.5
"68000050-026",33.8,52,12.8
"68000050-015",21.9,68.4,8.8
"68000050-014",16.4,73.7,8.4
"68000050-023",23.1,64.9,10.8
"68000050-031",36.4,45.8,16.7
"68000050-019",25.8,57.3,15.5
"68000050-007",33.6,53.8,11.3
"68000050-017",32.4,53.2,13.1
"68000050-018",35.4,48.7,14.9
"68000050-016",29.1,56.3,13.2
"68000050-021",15.4,73.1,10.7
"68000050-027",31.9,51.4,15.7
"68000050-003",24.6,62.3,12.1
"68000050-001",20.1,68.6,10.2
"68000050-028",33.8,50.1,15
"68000050-034",31,53.4,14.6
"68000050-029",31.4,51.5,16
"68000050-035",38.3,48.7,12
"68000050-020",31.1,54.8,13.3
"68000050-008",29,56.4,13.4
"68000050-038",32,52.8,14.4
"68000050-025",33,49.9,15.8
"68000050-006",20.5,69.7,8.8
"68000050-030",28.7,58.3,11.7
"68000120-007",26,61.5,11.1
"68000120-016",23.8,59.1,16
"68000120-012",22.8,65.2,11.1
"68000120-013",20.7,66.6,11.5
"68000120-004",24.7,61.4,13.3
"68000120-002",32.6,56.8,9.7
"68000120-009",26.1,60.3,11.9
"68000120-005",25.5,63,9.9
"68000120-010",25.1,60.2,13.7
"68000120-006",26.4,61.1,11.3
"68000120-020",17.3,66.9,14.3
"68000120-024",26.1,56.7,16.3
"68000120-021",19.7,66.6,12.8
"68000120-014",25,62.3,11.7
"68000120-023",21.3,62.4,15
"68000120-015",28.9,55.2,14.8
"68000120-019",24.7,62.3,12.1
"68000120-017",21.6,66.9,10.4
"68000120-008",24.5,62.5,11.8
"68000120-018",18.9,68,12.1
"68000120-003",25.3,57.2,16
"68000120-022",27.4,55.8,15.6
"68000120-011",20.4,63.7,15.4
"68000120-001",29.2,59.6,10
"64000050-084",25.5,66,7.4
"64000050-063",20.3,71.7,6.9
"64000050-064",24.9,66.8,7.5
"64000050-087",24.9,65.7,8.9
"64000050-088",24,67.6,7.4
"64000050-085",26.3,63.3,8.7
"64000050-082",26.1,65.1,7.4
"64000050-014",28.9,58.9,11.2
"64000050-012",26.5,61.8,10.5
"64000050-010",25.5,64.6,8.7
"64000050-013",29.6,58.5,10.8
"64000050-009",26.5,60.5,11.8
"64000050-011",21,70.1,8
"64000050-015",27.3,61.7,10.2
"64000050-008",24.6,64.3,10
"64000050-039",26.2,63.1,9.8
"64000050-038",27.2,59.6,11.9
"64000050-059",23.7,66.4,9.3
"64000050-067",19.9,69,10.4
"64000050-066",23.7,69.1,6.1
"64000050-086",26.9,60.5,11.3
"64000050-052",23.2,66.3,9.2
"64000050-055",18.8,70.4,9.4
"64000050-044",26.7,61.8,10.6
"64000050-062",24.2,67.6,7.3
"64000050-047",20.7,69.3,8.9
"64000050-060",21.7,67.8,9.7
"64000050-046",25.6,65,8.3
"64000050-061",24.1,65.7,9.3
"64000050-042",21.2,68.5,9
"64000050-045",28.2,60.1,10.9
"64000050-043",19.9,69.1,9.5
"64000050-074",29.6,59.5,9.2
"64000050-075",26.8,60.7,11.3
"64000050-073",26.3,62.9,9.7
"64000050-072",27.9,61.1,9.5
"64000050-070",26.7,62.9,9.5
"64000050-068",22,68.6,8.6
"64000050-069",27.3,61,10.4
"64000050-083",25.2,61.7,11.5
"64000050-050",23.8,65.2,10.5
"64000050-049",24.7,67.3,7.4
"64000050-051",27.9,63.2,7.6
"64000050-048",19.7,71.1,8.1
"64000050-004",24,65.7,9.2
"64000050-006",22.1,67.6,9.7
"64000050-005",22.3,66.5,10.3
"64000050-001",22.5,67.1,9.6
"64000050-007",30.6,56.8,11.5
"64000050-003",21.3,69.3,8.3
"64000050-002",26.4,61.3,11.1
"64000050-058",27.1,63.6,8.2
"64000050-078",22.5,69,7.6
"64000050-077",21.6,70.2,7
"64000050-054",25.2,65.7,8
"64000050-065",23.1,66.8,9
"64000050-057",21.8,70,6.9
"64000050-079",27,60,9.8
"64000050-056",21.4,69.4,7.8
"64000050-053",26.6,63.9,8.6
"64000050-076",27,62.8,8.9
"64000050-081",22.9,66,10.2
"64000050-020",22.4,66.2,10.4
"64000050-023",27.6,61.1,10.5
"64000050-030",26.2,60.6,11.9
"64000050-027",28.4,59.2,11.3
"64000050-018",24.5,62.1,12.3
"64000050-029",25.8,63.8,9.3
"64000050-022",28.2,59.5,11
"64000050-026",28.3,60.2,10.5
"64000050-021",31.3,57.3,10.2
"64000050-025",27.9,61.6,9.8
"64000050-016",25.4,63.7,9.7
"64000050-017",25,64.4,9.4
"64000050-024",24.1,65.5,8.9
"64000050-019",25.3,62.8,10.8
"64000050-028",26,62.8,9.7
"64000050-031",25.8,61.7,11.3
"64000050-033",23.1,66.2,9.5
"64000050-041",26,63.2,9.7
"64000050-036",20.3,71.1,7.3
"64000050-035",19.3,72.3,7
"64000050-037",22.2,66.5,10.4
"64000050-034",22.8,66.2,10.1
"64000050-032",22.3,66.2,10
"64000050-040",24.1,63.6,11.3
"64000160-005",18.4,69.5,11
"64000160-003",21.7,67.2,10.2
"64000160-008",20.7,66.5,11.3
"64000160-009",20.3,68.7,9.4
"64000160-002",22.3,65.5,11
"64000160-007",18.8,68.6,11.3
"64000160-001",20.2,68.4,9.7
"64000160-004",17.9,73.1,7.7
"64000160-006",19.2,70.5,9.3
"64000140-005",18.6,70.5,10.2
"64000140-004",11.6,77.2,10.3
"64000140-003",17.8,69.8,10.9
"64000140-017",31.5,54.7,12.5
"64000140-009",22,66.9,9.7
"64000140-025",43.9,42.7,12.5
"64000140-002",18.7,68,12.4
"64000140-019",22.8,66.1,10
"64000140-024",60.6,28.3,10.2
"64000140-022",18.5,70.4,9.8
"64000140-018",45.4,39.1,14.8
"64000140-008",25.1,65.6,8.3
"64000140-010",23.7,62.8,12.4
"64000140-001",11.7,80.7,6.1
"64000140-023",15.1,75.6,7.9
"64000140-006",16.7,73.9,8.2
"64000140-007",13.4,77.6,8.1
"64000140-012",13.2,76.2,9.1
"64000140-016",26.9,61.5,10.5
"64000140-015",20.6,69.1,9.1
"64000140-021",17.7,73.6,8
"64000140-011",19.3,70.1,9.2
"64000140-020",17.1,72.7,8.6
"64000140-013",17.9,70.2,11
"64000140-014",16.2,75.3,7.4
"64000150-002",26.3,62.7,10.1
"64000150-015",24.1,68.1,7.4
"64000150-003",28.8,60.6,9.3
"64000150-010",16.4,73.5,9.3
"64000150-014",18.5,71.8,8.7
"64000150-012",20.4,70.1,7.6
"64000150-011",14.7,76.9,7.4
"64000150-004",19.9,70.8,8.4
"64000150-005",18.7,73.2,6.8
"64000150-001",23.2,64.7,11
"64000150-008",14.1,79,5.9
"64000150-009",15.9,74.6,8.1
"64000150-018",28,66.1,4.1
"64000150-016",17.9,73.3,8
"64000150-007",13.5,78.8,6.2
"64000150-017",36.6,56.6,5.3
"64000150-013",12.1,77,9.2
"64000150-006",20.4,70.9,7.8
"64000110-012",21.1,69.6,8.2
"64000110-013",22,65.9,11.3
"64000110-026",19.2,69.5,10.2
"64000110-011",21.9,66.6,10.5
"64000110-001",24.1,63.2,11.7
"64000110-022",20.9,67.1,11.1
"64000110-018",30.5,55.6,12.4
"64000110-032",20.3,71.1,8.2
"64000110-016",26.1,61,11.9
"64000110-028",24.4,62.5,11.8
"64000110-014",25.9,62.8,10.1
"64000110-030",20.4,69.3,9.4
"64000110-017",21,66.1,12
"64000110-027",16.7,72.9,9.6
"64000110-010",21.8,67.1,10
"64000110-025",24.1,65.9,9.1
"64000110-024",22.8,67.4,8.9
"64000110-019",43.6,40.3,14.6
"64000110-031",19.6,69.1,10.1
"64000110-021",23.4,67.5,8.3
"64000110-023",21.2,68.4,9.2
"64000110-002",30.7,56.4,11.5
"64000110-003",31.4,55.6,12.2
"64000110-006",20.5,67.3,10.7
"64000110-005",23.8,65.9,9.3
"64000110-007",21.7,66.1,10.8
"64000110-004",23.6,67.2,8.7
"64000110-008",22.2,67.5,9.2
"64000110-015",24.2,64.6,9.9
"64000110-029",21.3,66.6,10.8
"64000110-036",16.4,74.1,8.1
"64000110-009",20.7,68.5,9.7
"64000110-035",19.4,72.6,7.4
"64000110-038",15.1,75.5,8.3
"64000110-033",22.2,67.3,9
"64000110-037",16,74.6,8.2
"64000110-034",21,70.5,7.4
"64000110-020",33.2,53.4,12.2
"64000170-009",22.6,64.3,12.2
"64000170-001",17.7,70.8,10.3
"64000170-012",22.3,64.9,11.4
"64000170-013",17.2,69.9,12
"64000170-014",21.8,66,10.8
"64000170-006",19.3,69.9,9.4
"64000170-016",26,63.9,9.1
"64000170-005",18,73.5,7.3
"64000170-007",19,69.1,11.1
"64000170-008",12.3,78.7,7.7
"64000170-003",25.5,64.7,8.2
"64000170-015",20.1,67.1,11.6
"64000170-011",15.9,74,8.8
"64000170-004",20.3,68.4,10.2
"64000170-010",16.9,73.3,7.6
"64000170-002",19.3,68.3,11.7
"64000350-014",20,70.3,6.7
"64000350-010",29.6,57.9,10.2
"64000350-011",25.3,63.3,9
"64000350-007",32,56.3,10.4
"64000350-012",23.7,52.2,21.7
"64000350-008",28.4,60.5,8.9
"64000350-016",11.9,82.7,4.1
"64000350-015",20.4,69.6,8.7
"64000350-004",28,62.3,7.6
"64000350-003",24.3,61.5,13.6
"64000350-005",29,56.7,12.7
"64000350-006",28.5,62.2,8.7
"64000350-018",26.1,63.6,9
"64000350-013",21.8,65.7,10.8
"64000350-002",17.5,71.6,8.4
"64000350-001",28.2,60.2,10.1
"64000350-017",22.9,62.4,13.9
"64000350-009",25.7,63.1,9.7
"64000320-012",22.2,65.2,12.1
"64000320-009",36.5,49.3,12.8
"64000320-006",23.1,65.4,9.6
"64000320-011",21.9,65.8,11
"64000320-005",16.9,68.1,13.2
"64000320-001",27.2,64.3,7.2
"64000320-004",18.4,72.1,8.8
"64000320-003",22.1,71.8,5.3
"64000320-002",17,66.7,13.9
"64000320-007",29.8,57.7,11.5
"64000320-008",23.8,66.9,6.8
"64000320-010",30.2,59.6,9.3
"64000030-004",18.7,73.1,7.1
"64000030-005",12.8,81.3,5.1
"64000030-013",52.1,24.2,21.7
"64000030-016",37.6,50.6,10.7
"64000030-017",79.4,7,12.3
"64000030-035",49.8,38.6,10.4
"64000030-009",26.7,61.6,10.7
"64000030-002",21.6,69.6,7.6
"64000030-008",18.6,74,5.8
"64000030-019",51.7,26.2,20.4
"64000030-038",66.3,19.5,12.5
"64000030-037",60.2,26,12
"64000030-036",61.4,23.4,13
"64000030-025",21.4,71.6,5.8
"64000030-011",55.2,29.7,14
"64000030-032",67.4,18.1,12.8
"64000030-030",49.5,37.7,10.7
"64000030-029",29.2,61.3,8.6
"64000030-031",35.2,50.6,12.6
"64000030-034",36.5,45.6,17.1
"64000030-012",73.3,15.7,7.1
"64000030-015",46.8,40.3,11.6
"64000030-003",21.9,70.2,6.3
"64000030-021",17.3,75.8,6.3
"64000030-043",29.4,57.2,12.3
"64000030-001",33.5,55.2,9.8
"64000030-039",32.4,55,11.6
"64000030-040",28.2,60.1,10.5
"64000030-041",20,70,8.8
"64000030-042",29.8,57.5,11.7
"64000030-022",18.3,73.6,6.9
"64000030-023",17.1,76,6.6
"64000030-024",18.2,73.8,7.4
"64000030-026",20.9,71.3,6.8
"64000030-044",30.4,54.7,13.9
"64000030-007",12.5,79.4,6.5
"64000030-006",11.8,80.6,6.6
"64000270-001",26.9,59.3,11.6
"64000270-002",27.8,61.3,9.6
"64000270-005",22.5,64.3,12
"64000270-003",21.5,67,10.6
"64000270-006",19.2,66.5,12.6
"64000270-004",16.3,72,10
"64000220-005",18,73.4,6.8
"64000220-008",26.1,61.4,12
"64000220-003",14,77.5,5.9
"64000220-009",17.4,69,11.3
"64000220-004",20.9,70.9,6.8
"64000220-007",21.9,66,10.2
"64000220-002",19.4,71.1,7.8
"64000220-006",21.5,61.7,15
"64000220-001",23.4,66.5,8.8
"64000220-010",14,76.6,8.6
"64000330-004",31.6,50.5,15.9
"64000330-007",24.4,63.1,11.1
"64000330-002",43.7,41.7,13.9
"64000330-003",30.6,47.7,20.2
"64000330-001",34.9,53.1,11.6
"64000330-006",27.9,60.5,10.4
"64000330-005",25.9,65.8,6.9
"64000340-005",31.8,56.5,9.6
"64000340-008",26.8,59.1,12.4
"64000340-006",32.1,57.5,8.9
"64000340-007",23.2,67.5,7.7
"64000340-002",26.1,64.6,8
"64000340-001",21.8,69.7,5.9
"64000340-003",19.5,70.3,7.8
"64000340-004",32,55.2,10.4
"64000380-003",38.1,51.3,9.3
"64000380-002",61.6,20.1,17.4
"64000190-015",10.7,76.9,10.9
"64000190-029",21.9,66.1,9.6
"64000190-006",11.7,80.4,7
"64000190-033",72.1,11.2,14.8
"64000190-016",28.2,59.4,11.2
"64000190-020",20.9,65.6,12.1
"64000190-001",25.4,62.5,11.5
"64000190-025",19.7,68.3,10.6
"64000190-022",21.5,61.9,15.3
"64000190-023",21.2,68.6,8.9
"64000190-019",24.2,62.5,12
"64000190-011",27.1,59.6,12.1
"64000190-030",36.8,50.7,11.9
"64000190-008",28.5,57.4,12.8
"64000190-002",24.1,62.5,12.1
"64000190-007",65.1,20,13.3
"64000190-013",40.1,44.9,13.9
"64000190-009",24.8,63.1,10.7
"64000190-012",31.4,54.5,12.6
"64000190-005",28.5,57.4,12.6
"64000190-031",16.3,69.1,12.8
"64000190-018",29.1,58.5,11.2
"64000190-028",8,82,8.7
"64000190-027",18.7,71.1,8.6
"64000190-026",14.2,72.3,12.3
"64000190-003",28.8,57.9,12.2
"64000190-032",27.3,60.3,11.4
"64000190-017",22.4,63.2,13.4
"64000190-024",25.2,64.1,9.3
"64000190-004",22.4,64.6,11
"64000190-010",17.4,71.3,10.3
"64000190-014",12.6,76.9,8.8
"64000190-021",20,66.8,11.6
"64000130-024",9.3,80.5,8.7
"64000130-017",14.6,76.4,8.1
"64000130-006",19.2,71.6,7.9
"64000130-005",24.4,64,10.3
"64000130-023",14.5,74.3,10.2
"64000130-020",19.3,71.7,8.3
"64000130-021",22.4,65.5,10.9
"64000130-013",19.7,67.7,11
"64000130-011",22.8,64.6,11.3
"64000130-019",13.2,77.2,7.9
"64000130-009",14.6,74.5,9.7
"64000130-018",18.5,72.4,8.3
"64000130-001",21.6,67.4,9.7
"64000130-012",32.8,55.8,10.1
"64000130-014",18.7,71.3,9.2
"64000130-002",22.5,65.5,10.7
"64000130-007",19.1,69.9,10.1
"64000130-008",16.1,76,7.1
"64000130-010",12.8,76.4,9.6
"64000130-003",19,70.2,9.1
"64000130-016",15.4,76.9,6.6
"64000130-022",17,72.3,9.6
"64000130-004",22.6,65.7,10.5
"64000130-015",18.2,70,10.2
"64000230-002",14.8,77.5,6.3
"64000230-011",13,77.2,8.7
"64000230-001",14.2,76.6,8.4
"64000230-008",17.4,73.7,7.8
"64000230-006",20,68.1,10.7
"64000230-009",21.9,66.7,9.6
"64000230-012",23.2,63.7,12
"64000230-005",22.1,66.5,10
"64000230-007",19.3,69.4,9.9
"64000230-010",21.3,67.5,9.9
"64000230-004",22.5,64.4,11.1
"64000230-003",17.5,74.5,6.7
"64000070-001",20.1,70,8.7
"64000070-019",27.6,61.8,9.2
"64000070-020",30.2,58.2,10.1
"64000070-004",26.5,64.1,8.1
"64000070-010",27.7,61.9,9.6
"64000070-005",24.9,65.4,8.4
"64000070-012",22.6,65.9,10.7
"64000070-015",30.4,56.7,11.5
"64000070-014",33.8,55.1,10.1
"64000070-017",31.8,55.6,11.1
"64000070-003",19.7,69.1,9.6
"64000070-008",26.8,59.9,11.4
"64000070-009",29.2,60.6,8.5
"64000070-007",31.1,58.6,9.4
"64000070-002",30.5,57.6,11.3
"64000070-013",28,60.4,9.6
"64000070-016",27.4,60.8,10.1
"64000070-011",31.4,59.4,8.7
"64000070-006",32,56.7,10.6
"64000070-018",27.8,61.3,9.5
"64000090-005",17.5,71.1,9.9
"64000090-008",11.1,78.7,9.5
"64000090-007",17.8,71.3,9.7
"64000090-029",34.2,53.9,11.1
"64000090-045",27.3,60.6,10.4
"64000090-040",23.9,63.3,11.9
"64000090-043",27.1,64,8.6
"64000090-044",28.3,59.7,10.8
"64000090-041",25.2,62,11.8
"64000090-042",27.6,60.3,10.7
"64000090-028",31.3,57.8,9.6
"64000090-033",23.7,66.1,9.5
"64000090-032",35.3,51.9,11.5
"64000090-038",33,55.4,10.3
"64000090-024",55.2,29.5,13.5
"64000090-025",60.8,20.3,17.3
"64000090-003",18.9,70.7,9.7
"64000090-002",19.2,71.1,8.8
"64000090-004",19.6,68.2,10.3
"64000090-012",14.7,77.3,7.3
"64000090-009",13.4,77,7.9
"64000090-010",15.2,75.2,8.5
"64000090-011",18.9,69.9,9.7
"64000090-015",16.8,72.6,9.6
"64000090-030",30.9,59,9.5
"64000090-031",29.8,60,9.3
"64000090-001",18.8,69.9,10.3
"64000090-034",31,57.5,10.4
"64000090-035",27.1,60.6,11.2
"64000090-039",26.5,64,8
"64000090-059",19.2,71.2,8.7
"64000090-054",21.4,68.9,8.4
"64000090-052",23.7,66,9.3
"64000090-046",21,68.1,10.6
"64000090-055",19.5,71.6,8
"64000090-051",19.9,70.3,8.2
"64000090-061",19.6,69.7,9.4
"64000090-050",21,70.1,7.8
"64000090-047",23.6,66.4,9.1
"64000090-056",21.4,68.3,9.1
"64000090-049",24.3,63.8,10.7
"64000090-060",25.5,63.5,9.9
"64000090-053",20.9,67.9,10.6
"64000090-058",22.8,65.1,11
"64000090-057",18.2,72,9.1
"64000090-048",21.4,65.5,12.2
"64000090-006",26.8,63.4,8.6
"64000090-036",27.8,60.6,10.2
"64000090-014",12.3,79.2,7.5
"64000090-013",15.1,77.2,6.2
"64000090-021",29.6,57,12.1
"64000090-037",28.7,59.1,10.9
"64000090-022",21.5,71.2,7
"64000090-023",24.3,66,8.4
"64000090-018",17.6,72.3,8.7
"64000090-016",16.6,74.8,7.3
"64000090-019",23.5,65.3,10
"64000090-020",24.3,65.9,8.4
"64000090-017",17.7,72.9,8.4
"64000310-011",29.2,60.1,10.1
"64000310-004",33.9,52.9,11.7
"64000310-017",30.9,55.6,12.6
"64000310-018",24.9,63.9,10.2
"64000310-016",28.5,61.5,7.9
"64000310-002",33.4,53,12.9
"64000310-012",29.2,59.7,9
"64000310-013",35.5,51.4,12
"64000310-015",27.4,61.2,10.4
"64000310-007",22.6,64.6,11.9
"64000310-003",30.4,56.7,12
"64000310-001",29.9,59,9.9
"64000310-019",24.5,63.8,10.6
"64000310-009",23.8,65,10.5
"64000310-005",37.8,46.3,14.5
"64000310-010",24.4,65.3,9.6
"64000310-006",28.7,59.9,9.6
"64000310-008",31.9,56.7,10.1
"64000310-014",33.1,56.1,9.9
"64000260-009",20.7,62.9,14.7
"64000260-003",22.1,63.5,13
"64000260-008",18.9,68.3,11.7
"64000260-010",13.7,75,8.8
"64000260-014",18.8,71.8,7.5
"64000260-007",16.5,69.9,12.2
"64000260-015",18.5,67.3,13.5
"64000260-002",19.4,67.5,10.7
"64000260-005",18.9,65.3,14.6
"64000260-006",19.2,72.7,7.1
"64000260-012",16.2,71.3,10.7
"64000260-013",19.6,67.8,11.1
"64000260-011",21,65.2,12.6
"64000260-004",18.4,67.8,12.3
"64000260-001",14.7,74.1,9.9
"64000360-003",74.2,12.4,13.1
"64000360-001",60.5,19.9,18.9
"64000360-002",57.7,23,17.4
"64000080-013",26.8,63.1,9.3
"64000080-033",30.8,58.3,9.7
"64000080-062",29.7,58.3,10.9
"64000080-041",28.6,59.6,10.4
"64000080-014",31.2,57.7,10.7
"64000080-067",24.2,63.8,11
"64000080-018",27.3,62.8,8.7
"64000080-061",29.3,58.4,10.6
"64000080-066",29.6,58.3,11.2
"64000080-063",29.8,59.8,9.2
"64000080-059",27.1,62.4,9.7
"64000080-060",26.4,61.9,10.6
"64000080-065",25.7,63,10.2
"64000080-064",29.4,59.6,9.9
"64000080-042",30.1,58.9,9.4
"64000080-058",30.4,57,11.1
"64000080-012",27.6,61.7,8.9
"64000080-026",21.5,68.7,8.3
"64000080-035",34.7,53.8,10
"64000080-037",33.8,55.6,9
"64000080-020",29.1,59.2,10.2
"64000080-034",33.3,55.2,10
"64000080-030",28.2,61.7,8.6
"64000080-025",34.4,52.9,11.5
"64000080-029",26.8,62.7,9.9
"64000080-032",34.6,54.3,9.4
"64000080-031",35.8,53.8,9.2
"64000080-024",34.7,53.4,10.7
"64000080-023",30,57.9,10.4
"64000080-028",26.1,63.7,9.2
"64000080-044",29.3,59.7,9.8
"64000080-047",41.8,46.4,9.3
"64000080-045",30.1,56.5,12.2
"64000080-043",33.3,56.7,8.1
"64000080-027",21.1,68.6,9.5
"64000080-007",28.4,60.1,9.9
"64000080-008",23.4,61.7,14.1
"64000080-009",24,64.6,10.2
"64000080-038",33.9,55.9,8.5
"64000080-068",23.3,64.3,11.1
"64000080-016",28.6,55,13.8
"64000080-046",24.2,65.4,9.7
"64000080-004",23.4,66,9.1
"64000080-003",24.5,63.6,10.4
"64000080-006",24.9,65.2,8.7
"64000080-002",31.1,57.4,10
"64000080-005",32.3,55.9,10
"64000080-036",37.5,48.7,12.5
"64000080-001",30.7,55.2,12.9
"64000080-022",28.9,60.7,9.3
"64000080-019",27.5,60.2,11
"64000080-021",28.8,61.6,8.3
"64000080-048",25.8,62.4,10.3
"64000080-017",26.7,62.4,9.9
"64000080-010",28.9,57.7,12.4
"64000080-011",25.2,63.2,10.5
"64000080-053",28.6,60.6,9.1
"64000080-054",25.4,60.5,12.5
"64000080-057",20.3,69,9.5
"64000080-055",22.7,66.7,9.1
"64000080-056",26.2,62.1,11
"64000080-040",20.6,68.6,9.4
"64000080-051",32.8,55.6,10.8
"64000080-052",22.1,69.3,7.9
"64000080-050",30.4,58.5,8.6
"64000080-049",26.4,62.9,9.7
"64000080-039",20.3,69.6,8.1
"64000080-015",25.6,65.2,7
"64000080-069",31.3,55.4,12.1
"64000370-007",37.3,48.4,13.5
"64000370-003",47.1,22.7,28.5
"64000370-001",54.6,24.7,19.9
"64000370-004",49.6,31.2,18.1
"64000370-008",47.8,31.2,20.3
"64000370-006",60.2,30.5,7.8
"64000370-005",44.2,21.7,33.3
"64000370-002",60.9,21.4,16.4
"64000290-011",18.7,69.8,10
"64000290-005",19,71.3,9.2
"64000290-010",17.8,73.7,5.8
"64000290-013",25,62.1,11.5
"64000290-012",18.9,72.3,7
"64000290-006",19,72.7,6.6
"64000290-015",20.8,67.5,10
"64000290-009",20.5,66.7,11.5
"64000290-014",21.1,66.5,11.1
"64000290-004",15.4,74.2,8.8
"64000290-003",20.4,70.5,8
"64000290-001",16.3,73,9.3
"64000290-002",21,69.5,7.8
"64000290-008",19,67.2,12
"64000290-007",16.5,71.8,9.7
"64000180-006",18.5,74.1,5.9
"64000180-003",29.5,59.4,9.7
"64000180-005",19.3,69.5,10.4
"64000180-001",24.6,63.8,10.3
"64000180-007",24.2,64.7,9.8
"64000180-002",26.8,62.8,9.2
