"townname","kmt","ddp","pfp"
"苗栗縣三義鄉","41.3","39.5","17.6"
"苗栗縣頭份市","39.7","39.8","19.4"
"苗栗縣三灣鄉","41.8","40.4","16.5"
"苗栗縣南庄鄉","44.2","34.2","20.3"
"苗栗縣苗栗市","43.7","38.8","16.2"
"苗栗縣頭屋鄉","44.5","38.3","16"
"苗栗縣獅潭鄉","46.5","34.8","16.8"
"苗栗縣公館鄉","39","41.3","18.3"
"苗栗縣大湖鄉","41.4","40.4","17"
"苗栗縣泰安鄉","42.5","23.9","33"
"苗栗縣卓蘭鎮","29.9","56.2","12.7"
"高雄市桃源區","51.1","27.5","20.2"
"高雄市那瑪夏區","55.5","30.4","13.3"
"高雄市甲仙區","32.2","53","13.5"
"高雄市六龜區","24.8","63.4","10.4"
"高雄市杉林區","27.5","61.3","9.3"
"高雄市內門區","25.1","63.2","9.9"
"高雄市旗山區","23.3","65.3","9.9"
"高雄市美濃區","29.5","58.5","10.8"
"高雄市茂林區","63.9","18.4","16.8"
"高雄市阿蓮區","19.4","69.7","9.6"
"高雄市田寮區","19","69.9","9.6"
"高雄市燕巢區","23.6","65.4","9.7"
"高雄市大社區","20","68.5","10.2"
"高雄市大樹區","21.7","68.8","8.3"
"高雄市茄萣區","18.4","68.3","11.9"
"高雄市湖內區","20.5","67.4","10.6"
"高雄市路竹區","22.9","64.5","10.9"
"高雄市永安區","22.5","64.6","11.4"
"高雄市岡山區","26.8","60.1","11.8"
"高雄市彌陀區","24.3","62.4","11.7"
"高雄市梓官區","19.2","69.9","9.4"
"高雄市橋頭區","19.7","70.5","8.4"
"高雄市楠梓區","28","59.8","11"
"高雄市左營區","33.4","53.6","11.8"
"高雄市仁武區","20.1","68.1","10.7"
"高雄市鳥松區","24.4","64.5","9.9"
"高雄市大寮區","22.3","66.3","10.3"
"高雄市林園區","18.9","70.3","9.5"
"高雄市鼓山區","29.7","58.6","10.5"
"高雄市鹽埕區","25","64.7","9.2"
"高雄市旗津區","18.8","71.3","8.7"
"高雄市三民區","25.5","63.3","10"
"高雄市前金區","28.6","60.2","9.9"
"高雄市新興區","28.3","60.7","9.8"
"高雄市苓雅區","28.5","60.1","10.1"
"高雄市前鎮區","25.1","63.8","10"
"高雄市鳳山區","27","60.7","11.3"
"高雄市小港區","22.7","66.1","10.1"
"基隆市中正區","35.3","46.6","16.8"
"基隆市信義區","38.9","43.6","16.4"
"基隆市仁愛區","32.8","50.9","15"
"基隆市中山區","32.3","49","17.3"
"基隆市安樂區","35.5","47.3","16"
"基隆市暖暖區","36.4","44.8","17.4"
"基隆市七堵區","32.4","50.9","15.5"
"連江縣南竿鄉","68.6","16.5","12.5"
"連江縣北竿鄉","70.3","15.2","12.9"
"連江縣莒光鄉","63.5","16","19.4"
"連江縣東引鄉","59.2","16.5","24.1"
"桃園市蘆竹區","29.2","56.4","13.2"
"桃園市龜山區","32.5","52.6","13.7"
"桃園市桃園區","32.5","52.4","14"
"桃園市大園區","27.7","58","13.1"
"桃園市觀音區","24.4","61.4","13.1"
"桃園市新屋區","28.1","58.6","12.3"
"桃園市楊梅區","35.4","46.7","16.7"
"桃園市中壢區","37.7","46","15.2"
"桃園市平鎮區","35.7","47.7","15.5"
"桃園市龍潭區","38.9","44.8","15.1"
"桃園市八德區","36.4","48.3","14.2"
"桃園市大溪區","31.9","54.8","12.2"
"桃園市復興區","48.6","32.5","17.9"
"臺中市大甲區","29.1","56.9","12.6"
"臺中市大安區","30.3","57.5","10.7"
"臺中市外埔區","33.2","51.6","13.8"
"臺中市清水區","27.7","58.1","12.6"
"臺中市梧棲區","27.3","57.3","14.2"
"臺中市沙鹿區","28.8","53.6","15.9"
"臺中市龍井區","28.9","54.4","15"
"臺中市大肚區","29.7","53.2","15.5"
"臺中市烏日區","28","55.6","15.1"
"臺中市霧峰區","27.5","54.7","16.3"
"臺中市大里區","25.9","57","16"
"臺中市后里區","28.9","54.9","14.5"
"臺中市神岡區","24.1","60.9","13.5"
"臺中市大雅區","30.3","52.7","15.5"
"臺中市潭子區","27.9","55.2","15.6"
"臺中市西屯區","32.2","50.7","15.7"
"臺中市南屯區","30.3","52.9","15.5"
"臺中市北屯區","32","50.8","15.9"
"臺中市北區","32.7","50.8","15.2"
"臺中市西區","30.5","54.2","14.1"
"臺中市中區","29.8","55.4","13.5"
"臺中市東區","27.8","56.6","14.2"
"臺中市南區","29.4","54.3","15"
"臺中市太平區","28.3","54.9","15.6"
"臺中市豐原區","26.9","58.3","13.5"
"臺中市石岡區","32.1","53.2","13"
"臺中市新社區","30.1","55.8","12.6"
"臺中市東勢區","34","50.8","13.5"
"臺中市和平區","38.8","35","25.3"
